No,User Name,Rating Bintang,Tanggal,Isi Ulasan Asli,Master Ground Truth,Prediksi ML (Naive Bayes),Confidence Score (%),Prob Positif (%),Prob Negatif (%),Status Anomali
1,Ahmad Rido'i,5,2026-09-11,Aplikasi memudahkan,Positif,Positif,88.3,88.3,11.2,Sesuai
2,Kiso Veo,1,2026-09-11,"Payah, sekelas aplikasi pemerintah kuliatasnya seperti ini untuk pelayanan kesehatan Bayar pajak cuma buat urusan perut pejabat bukan untuk kemaslahatan rakyat",Negatif,Negatif,78.9,20.4,78.9,Sesuai
3,Egi Hilman,1,2026-09-11,aplikasi nya jelek banget... mau daftar sebgai anggota baru problem trs akhirnya ngulang lagi prosesnya dari awal,Negatif,Negatif,90.6,8.6,90.6,Sesuai
4,Putraa Hani,1,2026-09-11,"apk jelek bgt susah daftarnya, dulu gampang skrg malah ruett kaya pemerintah",Negatif,Negatif,96.6,3.2,96.6,Sesuai
5,Yunus Wahyu Setiawan,1,2026-09-11,"Dapet rujukan tapi di faskes lanjutan jadwal penuh berhari hari, mau ke IGD tp ada embel² belum tentu dicover BPJS. Ya gimana, kita yg ngerasain sakitnya tp keputusan dicover BPJS blm pasti. Masa harus nunggu berhari² baru bisa berobat?",Negatif,Negatif,85.1,13.6,85.1,Sesuai
6,Elzio Wine,1,2026-09-11,"saya sangat kecewa dengan aplksi mobile jkn,anak saya sakit mau berobat,sedangkn hp saya tidak bisa mendownload aplksi mobile jkn,sedangkn peraturan rumah sakit harus dftr lewat online,lalu bagaiman sya mau berobat ,tolong dong pihak bpjs untuk aplksi biar semua tipe hp atau mmensupprot untk di download,maslah ya ini taruhan nyawa,.sedangkn dri pihak klinik hrus daftar dlu ya ,gimna nie tolong,atau saya laporkan kepda pejabat tinggi ya,kalau menyusahkan org buat berobat",Negatif,Negatif,89.3,10,89.3,Sesuai
7,Riki Sipahelut,4,2026-09-11,Appnya oke sih,Positif,Positif,91.8,91.8,7.4,Sesuai
8,purnawan nawan,3,2026-09-11,susah buat daftar seperti tidak ada perbaikan,Netral,Negatif,74.2,24.3,74.2,Sesuai
9,Bang Jun,1,2026-09-11,aplikasi sering maintenance. mohon untuk ditingkatkan lagi,Negatif,Negatif,57,40.5,57,Sesuai
10,Maryam Syarif,5,2026-09-11,kenapa ya kok punya ku tidak bisa ambil antrian tolong dong bantuan nya,Positif,Negatif,67.4,32.1,67.4,🚨 Bintang 4-5 tapi Prediksi ML Negatif (Taktik Komplain)
11,Fitri Lailatul,5,2026-09-11,mantap,Positif,Positif,99.2,99.2,0.7,Sesuai
12,Seni Kaban,5,2026-09-11,terbaik,Positif,Positif,81,81,18.5,Sesuai
13,alghifari Taufiq,5,2026-09-11,bagus,Positif,Positif,98.2,98.2,1.7,Sesuai
14,Zainal Amin,4,2026-09-11,baik,Positif,Positif,81,81,18.5,Sesuai
15,Delvin Aldzikry,1,2026-09-11,bt apa daftar online terus dikasih no antri klo ujung ujung ttp aja siapa yg datang duluan no antrian no 1,Negatif,Negatif,77.3,21.2,77.3,Sesuai
16,arla putra,5,2026-09-11,bagus ini,Positif,Positif,98.2,98.2,1.7,Sesuai
17,Produksi Masal,5,2026-09-11,aplikasi nya sangat bagus,Positif,Positif,97.7,97.7,2.2,Sesuai
18,Kyb Kyb,5,2026-09-11,"lebih praktis, dan sangat membatu.",Positif,Positif,99.6,99.6,0.4,Sesuai
19,IraAyu 7002,1,2026-09-11,kenapa harus pake ini kalo app nya eror!!!??? udah verifikasi wajah susah mirornya aneh. Setelah bisa malah disuruh coba lagi karna sistem tidak bisa diproses!!! tolong.,Negatif,Negatif,97.7,2.1,97.7,Sesuai
20,Aan Anwar,5,2026-09-11,oke,Positif,Positif,97.4,97.4,2.4,Sesuai
21,Rizky M.Syahrul,1,2026-09-11,"APK SAMPAHHHHHHHHHHH, KODE OTP NYA LAMA SEKALI DI KIRIM UDAH HAMPIR 2 HARI NUNGGU GAK ADA DI KIRIM",Negatif,Negatif,97.4,2.4,97.4,Sesuai
22,Rvnzaa Putra,1,2026-09-11,bodoh,Negatif,Negatif,74.9,23.1,74.9,Sesuai
23,Noldy Kapia18,1,2026-09-11,🔪,Negatif,Positif,51.5,51.5,45.6,💡 Bintang 1-2 tapi Prediksi ML Positif (Pujian / Salah Klik)
24,sarmi sarmi,4,2026-09-11,"aplikasi tdk bisa digunakan untuk ambil antrian,, sering log out",Positif,Negatif,89.8,10,89.8,🚨 Bintang 4-5 tapi Prediksi ML Negatif (Taktik Komplain)
25,Ricky Azwhan,1,2026-09-10,"aku pribadi lebih suka mekanis yang dulu sederhana dan terstruktur ketimbang sekarang banyak fitur iya tapi hal yang paling mendasar seperti Memperivikasi nomer telepon terutama saat mengirim kode dengan nomer itu lana sekali, tidak responsif juga untuk login memang ada password, tapi sekali lupa dan salah itu mau atur ulang sandi nya susah sekali kaya mau apa aja, dilihat dari pembaruan nya itu udah ada Ai yang melihat gejala, tapi tidak buat keamanannya di perbaiki, karena itu menjadi dasarnya",Negatif,Negatif,88.8,9.8,88.8,Sesuai
26,Doea Pilar Oetama,5,2026-09-10,mudah dan interaktif mantab,Positif,Positif,99.6,99.6,0.4,Sesuai
27,STUT COMMUNITY,5,2026-09-10,sangat membantu👍,Positif,Positif,99.7,99.7,0.3,Sesuai
28,Zhen Ibra,5,2026-09-10,"kenapa mobile jkn mau login nik ktp lain gak bisa lagi,aplikasi ini makin susah aja login",Positif,Negatif,82.5,16.9,82.5,🚨 Bintang 4-5 tapi Prediksi ML Negatif (Taktik Komplain)
29,muhammad bahiij,1,2026-09-10,"kebanyakan update,fitur utama malah eror,buat daftar antrean online aja kode f1 terus,aplikasi GG",Negatif,Negatif,90.2,9.3,90.2,Sesuai
30,Suyanto Diningrat,1,2026-09-10,"susah buat verifikasi wajah, kode OTP ga pernah muncul pdhl nomer HP aktif trs, aplikasi ga berguna",Negatif,Negatif,99.3,0.6,99.3,Sesuai
31,Adji Saroso,5,2026-09-10,ok banget,Positif,Positif,51.5,51.5,45.6,Sesuai
32,Ahmad Failani,1,2026-09-10,keburu sekarat,Negatif,Negatif,65.8,30.2,65.8,Sesuai
33,wedusss212 weduss,1,2026-09-10,"aplikasi malah tambah nyusahin mau berobat jadi susah , log in sulit minta otp selalu g bisa,....",Negatif,Negatif,94.9,4.7,94.9,Sesuai
34,dion alief,5,2026-09-10,"sekarang mau ngapa""in jadi ribet",Negatif,Negatif,88.4,10.7,88.4,🚨 Bintang 4-5 tapi Prediksi ML Negatif (Taktik Komplain)
35,cristina a,3,2026-09-10,"sering error, tolong di upgrade dong",Negatif,Negatif,91.5,7.6,91.5,Sesuai
36,Indra Bmth,3,2026-09-10,mau ngambil antrian online gagal Mulu udah dicoba segala ha gabisal mohon di perbaiki lagi,Netral,Negatif,83.7,15.3,83.7,Sesuai
37,Sakti Octova,1,2026-09-10,optimalkan lagi dong aplikasinya masa untuk hp ram 6 gb force close terus,Negatif,Negatif,63.6,31.4,63.6,Sesuai
38,M Riki Saputra,1,2026-09-10,"kadang memudahkan kadang menyusahkan karna gamau login dan terlog out sendiri, Optimali lagi ni aplikasi",Negatif,Negatif,81.3,17.3,81.3,Sesuai
39,Muhammad Qosim,1,2026-09-10,kurang baik,Negatif,Negatif,57.7,40,57.7,Sesuai
40,Malik Fajar,1,2026-09-10,verifikasi otp lewat sms ga muncul2 alasan jaringan padahal jaringan bagus karena menggunakan wifi,Positif,Negatif,52,47.2,52,Sesuai
41,Sihabuddin Addimiyyati,1,2026-09-10,jelek bet susah daftar,Negatif,Negatif,93.7,5.9,93.7,Sesuai
42,FI KAR,1,2026-09-10,"kode otp nya ga ada, apk apaan ini",Negatif,Negatif,98,1.9,98,Sesuai
43,Heri Mulyana,1,2026-09-10,knpa aplikasi ini susah sekali .. kompatibel terus apa masalah ny..dulu lancar2 aja,Positif,Negatif,66.8,31.8,66.8,Sesuai
44,Abdi Nawawi,5,2026-09-10,aplikasi Bagus,Positif,Positif,97.6,97.6,2.3,Sesuai
45,Himalaya Sadewa,5,2026-09-10,mantap pelayanan,Positif,Positif,98,98,1.8,Sesuai
46,Paijo87 Jhony87,5,2026-09-10,mudah cara pegunaan ya,Positif,Positif,89.1,89.1,10.6,Sesuai
47,Pincok 26,1,2026-09-10,saya berharap petugas BPJS kalo input data tu mata melek jangan merem satu angka/huruf salah anda mepotkan kami!!!,Negatif,Negatif,53.1,43.9,53.1,Sesuai
48,Saepul Islam,1,2026-09-10,SUMPAH INI APLIKASI JELEK BANGET. SERING KELUAR SENDIRI PADAHAL PASWORD SUDAH BENAR SAMPE GAGAL 3 KALI MASUK. PADAHAL URGENT MAU DIPAKE KECEWA,Negatif,Negatif,99.2,0.6,99.2,Sesuai
49,Anto Boyz,5,2026-09-10,sangat luar biasa,Positif,Positif,94.8,94.8,4.6,Sesuai
50,Zainal Abidin,5,2026-09-10,mantaap,Positif,Positif,81.8,81.8,16.1,Sesuai
