No,User Name,Rating,Tanggal,Ulasan,Jumlah Like,Tanggal Balasan,Balasan Developer,Versi Aplikasi
1,Ahmad Rido'i,5,2026-09-11,Aplikasi memudahkan,0,,,4.18.0
2,Kiso Veo,1,2026-09-11,"Payah, sekelas aplikasi pemerintah kuliatasnya seperti ini untuk pelayanan kesehatan Bayar pajak cuma buat urusan perut pejabat bukan untuk kemaslahatan rakyat",0,,,
3,Egi Hilman,1,2026-09-11,aplikasi nya jelek banget... mau daftar sebgai anggota baru problem trs akhirnya ngulang lagi prosesnya dari awal,0,,,4.18.0
4,Putraa Hani,1,2026-09-11,"apk jelek bgt susah daftarnya, dulu gampang skrg malah ruett kaya pemerintah",0,,,4.18.0
5,Yunus Wahyu Setiawan,1,2026-09-11,"Dapet rujukan tapi di faskes lanjutan jadwal penuh berhari hari, mau ke IGD tp ada embel² belum tentu dicover BPJS. Ya gimana, kita yg ngerasain sakitnya tp keputusan dicover BPJS blm pasti. Masa harus nunggu berhari² baru bisa berobat?",0,,,4.18.0
6,Elzio Wine,1,2026-09-11,"saya sangat kecewa dengan aplksi mobile jkn,anak saya sakit mau berobat,sedangkn hp saya tidak bisa mendownload aplksi mobile jkn,sedangkn peraturan rumah sakit harus dftr lewat online,lalu bagaiman sya mau berobat ,tolong dong pihak bpjs untuk aplksi biar semua tipe hp atau mmensupprot untk di download,maslah ya ini taruhan nyawa,.sedangkn dri pihak klinik hrus daftar dlu ya ,gimna nie tolong,atau saya laporkan kepda pejabat tinggi ya,kalau menyusahkan org buat berobat",0,,,
7,Riki Sipahelut,4,2026-09-11,Appnya oke sih,0,,,4.18.0
8,purnawan nawan,3,2026-09-11,susah buat daftar seperti tidak ada perbaikan,0,,,4.18.0
9,Bang Jun,1,2026-09-11,aplikasi sering maintenance. mohon untuk ditingkatkan lagi,0,,,4.18.0
10,Maryam Syarif,5,2026-09-11,kenapa ya kok punya ku tidak bisa ambil antrian tolong dong bantuan nya,0,,,
11,Fitri Lailatul,5,2026-09-11,mantap,0,,,4.18.0
12,Seni Kaban,5,2026-09-11,terbaik,0,,,4.18.0
13,alghifari Taufiq,5,2026-09-11,bagus,0,,,
14,Zainal Amin,4,2026-09-11,baik,0,,,4.13.1
