No,User Name,Rating Bintang,Tanggal,Ulasan Asli,Ulasan Preprocessing,Skor Sentimen,Sentimen Teks,Status Kesesuaian,Keterangan Anomali
1,Ahmad Rido'i,5,2026-09-11,Aplikasi memudahkan,aplikasi memudahkan,3,Positif,MATCH,
2,Kiso Veo,1,2026-09-11,"Payah, sekelas aplikasi pemerintah kuliatasnya seperti ini untuk pelayanan kesehatan Bayar pajak cuma buat urusan perut pejabat bukan untuk kemaslahatan rakyat",payah sekelas aplikasi pemerintah kuliatasnya seperti ini untuk pelayanan kesehatan bayar pajak cuma buat urusan perut pejabat bukan untuk kemaslahatan rakyat,-3,Negatif,MATCH,
3,Egi Hilman,1,2026-09-11,aplikasi nya jelek banget... mau daftar sebgai anggota baru problem trs akhirnya ngulang lagi prosesnya dari awal,aplikasi nya buruk banget mau daftar sebgai anggota baru problem terus akhirnya ngulang lagi prosesnya dari awal,-3,Negatif,MATCH,
4,Putraa Hani,1,2026-09-11,"apk jelek bgt susah daftarnya, dulu gampang skrg malah ruett kaya pemerintah",aplikasi buruk banget sulit daftarnya dulu gampang sekarang malah ruett kaya pemerintah,-5.5,Negatif,MATCH,
5,Yunus Wahyu Setiawan,1,2026-09-11,"Dapet rujukan tapi di faskes lanjutan jadwal penuh berhari hari, mau ke IGD tp ada embel² belum tentu dicover BPJS. Ya gimana, kita yg ngerasain sakitnya tp keputusan dicover BPJS blm pasti. Masa harus nunggu berhari² baru bisa berobat?",dapet rujukan tapi di faskes lanjutan jadwal penuh berhari hari mau ke igd tapi ada embel belum tentu dicover bpjs ya gimana kita yang ngerasain sakitnya tapi keputusan dicover bpjs belum pasti masa harus nunggu berhari baru bisa berobat,0,Netral,MATCH,
6,Elzio Wine,1,2026-09-11,"saya sangat kecewa dengan aplksi mobile jkn,anak saya sakit mau berobat,sedangkn hp saya tidak bisa mendownload aplksi mobile jkn,sedangkn peraturan rumah sakit harus dftr lewat online,lalu bagaiman sya mau berobat ,tolong dong pihak bpjs untuk aplksi biar semua tipe hp atau mmensupprot untk di download,maslah ya ini taruhan nyawa,.sedangkn dri pihak klinik hrus daftar dlu ya ,gimna nie tolong,atau saya laporkan kepda pejabat tinggi ya,kalau menyusahkan org buat berobat",saya sangat kecewa dengan aplksi mobile jkn anak saya sakit mau berobat sedangkn hp saya tidak bisa mendownload aplksi mobile jkn sedangkn peraturan rumah sakit harus daftar lewat online lalu bagaiman sya mau berobat tolong dong pihak bpjs untuk aplksi biar semua tipe hp atau mmensupprot untk di download maslah ya ini taruhan nyawa sedangkn dari pihak klinik hrus daftar dlu ya gimna nie tolong atau saya laporkan kepda pejabat tinggi ya kalau menyusahkan org buat berobat,-3,Negatif,MATCH,
7,Riki Sipahelut,4,2026-09-11,Appnya oke sih,appnya oke sih,1.5,Positif,MATCH,
8,purnawan nawan,3,2026-09-11,susah buat daftar seperti tidak ada perbaikan,sulit buat daftar seperti tidak ada perbaikan,-2.5,Negatif,MATCH,
9,Bang Jun,1,2026-09-11,aplikasi sering maintenance. mohon untuk ditingkatkan lagi,aplikasi sering maintenance mohon untuk ditingkatkan lagi,0,Netral,MATCH,
10,Maryam Syarif,5,2026-09-11,kenapa ya kok punya ku tidak bisa ambil antrian tolong dong bantuan nya,kenapa ya kok punya ku tidak bisa ambil antrean tolong dong bantuan nya,0,Netral,MATCH,
11,Fitri Lailatul,5,2026-09-11,mantap,mantap,3,Positif,MATCH,
12,Seni Kaban,5,2026-09-11,terbaik,terbaik,3,Positif,MATCH,
13,alghifari Taufiq,5,2026-09-11,bagus,bagus,2,Positif,MATCH,
14,Zainal Amin,4,2026-09-11,baik,baik,2,Positif,MATCH,
15,Delvin Aldzikry,1,2026-09-11,bt apa daftar online terus dikasih no antri klo ujung ujung ttp aja siapa yg datang duluan no antrian no 1,bt apa daftar online terus dikasih no antri klo ujung ujung ttp aja siapa yang datang duluan no antrean no 1,0,Netral,MATCH,
16,arla putra,5,2026-09-11,bagus ini,bagus ini,2,Positif,MATCH,
17,Produksi Masal,5,2026-09-11,aplikasi nya sangat bagus,aplikasi nya sangat bagus,2,Positif,MATCH,
18,Kyb Kyb,5,2026-09-11,"lebih praktis, dan sangat membatu.",lebih praktis dan sangat membatu,2.5,Positif,MATCH,
19,IraAyu 7002,1,2026-09-11,kenapa harus pake ini kalo app nya eror!!!??? udah verifikasi wajah susah mirornya aneh. Setelah bisa malah disuruh coba lagi karna sistem tidak bisa diproses!!! tolong.,kenapa harus pake ini kalo aplikasi nya error udah verifikasi wajah sulit mirornya aneh setelah bisa malah disuruh coba lagi karena sistem tidak bisa diproses tolong,-5,Negatif,MATCH,
20,Aan Anwar,5,2026-09-11,oke,oke,1.5,Positif,MATCH,
21,Rizky M.Syahrul,1,2026-09-11,"APK SAMPAHHHHHHHHHHH, KODE OTP NYA LAMA SEKALI DI KIRIM UDAH HAMPIR 2 HARI NUNGGU GAK ADA DI KIRIM",aplikasi sampah kode otp nya lama sekali di kirim udah hampir 2 hari nunggu tidak ada di kirim,-6,Negatif,MATCH,
22,Rvnzaa Putra,1,2026-09-11,bodoh,bodoh,0,Netral,MATCH,
23,Noldy Kapia18,1,2026-09-11,🔪,,0,Netral,MATCH,
24,sarmi sarmi,4,2026-09-11,"aplikasi tdk bisa digunakan untuk ambil antrian,, sering log out",aplikasi tidak bisa digunakan untuk ambil antrean sering login out,0,Netral,MATCH,
25,Ricky Azwhan,1,2026-09-10,"aku pribadi lebih suka mekanis yang dulu sederhana dan terstruktur ketimbang sekarang banyak fitur iya tapi hal yang paling mendasar seperti Memperivikasi nomer telepon terutama saat mengirim kode dengan nomer itu lana sekali, tidak responsif juga untuk login memang ada password, tapi sekali lupa dan salah itu mau atur ulang sandi nya susah sekali kaya mau apa aja, dilihat dari pembaruan nya itu udah ada Ai yang melihat gejala, tapi tidak buat keamanannya di perbaiki, karena itu menjadi dasarnya",aku pribadi lebih suka mekanis yang dulu sederhana dan terstruktur ketimbang sekarang banyak fitur iya tapi hal yang paling mendasar seperti memperivikasi nomer telepon terutama saat mengirim kode dengan nomer itu lana sekali tidak responsif juga untuk login memang ada password tapi sekali lupa dan salah itu mau atur ulang sandi nya sulit sekali kaya mau apa aja dilihat dari pembaruan nya itu udah ada ai yang melihat gejala tapi tidak buat keamanannya di perbaiki karena itu menjadi dasarnya,-0.5,Netral,MATCH,
26,Doea Pilar Oetama,5,2026-09-10,mudah dan interaktif mantab,mudah dan interaktif mantap,5.5,Positif,MATCH,
27,STUT COMMUNITY,5,2026-09-10,sangat membantu👍,sangat membantu,3,Positif,MATCH,
28,Zhen Ibra,5,2026-09-10,"kenapa mobile jkn mau login nik ktp lain gak bisa lagi,aplikasi ini makin susah aja login",kenapa mobile jkn mau login nik kartu tanda penduduk lain tidak bisa lagi aplikasi ini makin sulit aja login,-2.5,Negatif,MISMATCH_HIGH_RATING,"Rating bintang tinggi (4-5), namun isi ulasan memuat kritik/keluhan tajam"
29,muhammad bahiij,1,2026-09-10,"kebanyakan update,fitur utama malah eror,buat daftar antrean online aja kode f1 terus,aplikasi GG",kebanyakan update fitur utama malah error buat daftar antrean online aja kode f1 terus aplikasi gg,-2.5,Negatif,MATCH,
30,Suyanto Diningrat,1,2026-09-10,"susah buat verifikasi wajah, kode OTP ga pernah muncul pdhl nomer HP aktif trs, aplikasi ga berguna",sulit buat verifikasi wajah kode otp tidak pernah muncul pdhl nomer hp aktif terus aplikasi tidak berguna,-2.5,Negatif,MATCH,
31,Adji Saroso,5,2026-09-10,ok banget,ok banget,1.5,Positif,MATCH,
32,Ahmad Failani,1,2026-09-10,keburu sekarat,keburu sekarat,0,Netral,MATCH,
33,wedusss212 weduss,1,2026-09-10,"aplikasi malah tambah nyusahin mau berobat jadi susah , log in sulit minta otp selalu g bisa,....",aplikasi malah tambah nyusahin mau berobat jadi sulit login in sulit minta otp selalu g bisa,-5,Negatif,MATCH,
34,dion alief,5,2026-09-10,"sekarang mau ngapa""in jadi ribet",sekarang mau ngapa in jadi rumit,-2,Negatif,MISMATCH_HIGH_RATING,"Rating bintang tinggi (4-5), namun isi ulasan memuat kritik/keluhan tajam"
35,cristina a,3,2026-09-10,"sering error, tolong di upgrade dong",sering error tolong di upgrade dong,-2.5,Negatif,MATCH,
36,Indra Bmth,3,2026-09-10,mau ngambil antrian online gagal Mulu udah dicoba segala ha gabisal mohon di perbaiki lagi,mau ngambil antrean online gagal terus udah dicoba segala ha gabisal mohon di perbaiki lagi,-2.5,Negatif,MATCH,
37,Sakti Octova,1,2026-09-10,optimalkan lagi dong aplikasinya masa untuk hp ram 6 gb force close terus,optimalkan lagi dong aplikasinya masa untuk hp ram 6 gb force close terus,-3,Negatif,MATCH,
38,M Riki Saputra,1,2026-09-10,"kadang memudahkan kadang menyusahkan karna gamau login dan terlog out sendiri, Optimali lagi ni aplikasi",kadang memudahkan kadang menyusahkan karena tidak mau login dan terlog out sendiri optimali lagi ni aplikasi,3,Positif,MISMATCH_LOW_RATING,Salah klik rating / Human error (Isi ulasan berupa pujian murni)
39,Muhammad Qosim,1,2026-09-10,kurang baik,kurang baik,-1.8,Negatif,MATCH,
40,Malik Fajar,1,2026-09-10,verifikasi otp lewat sms ga muncul2 alasan jaringan padahal jaringan bagus karena menggunakan wifi,verifikasi otp lewat sms tidak muncul2 alasan jaringan padahal jaringan bagus karena menggunakan wifi,2,Positif,MISMATCH_LOW_RATING,Salah klik rating / Human error (Isi ulasan berupa pujian murni)
41,Sihabuddin Addimiyyati,1,2026-09-10,jelek bet susah daftar,buruk bet sulit daftar,-5.5,Negatif,MATCH,
42,FI KAR,1,2026-09-10,"kode otp nya ga ada, apk apaan ini",kode otp nya tidak ada aplikasi apaan ini,0,Netral,MATCH,
43,Heri Mulyana,1,2026-09-10,knpa aplikasi ini susah sekali .. kompatibel terus apa masalah ny..dulu lancar2 aja,knpa aplikasi ini sulit sekali kompatibel terus apa masalah ny dulu lancar2 aja,-2.5,Negatif,MATCH,
44,Abdi Nawawi,5,2026-09-10,aplikasi Bagus,aplikasi bagus,2,Positif,MATCH,
45,Himalaya Sadewa,5,2026-09-10,mantap pelayanan,mantap pelayanan,3,Positif,MATCH,
46,Paijo87 Jhony87,5,2026-09-10,mudah cara pegunaan ya,mudah cara pegunaan ya,2.5,Positif,MATCH,
47,Pincok 26,1,2026-09-10,saya berharap petugas BPJS kalo input data tu mata melek jangan merem satu angka/huruf salah anda mepotkan kami!!!,saya berharap petugas bpjs kalo input data tu mata melek jangan merem satu angka huruf salah anda mepotkan kami,0,Netral,MATCH,
48,Saepul Islam,1,2026-09-10,SUMPAH INI APLIKASI JELEK BANGET. SERING KELUAR SENDIRI PADAHAL PASWORD SUDAH BENAR SAMPE GAGAL 3 KALI MASUK. PADAHAL URGENT MAU DIPAKE KECEWA,sumpah ini aplikasi buruk banget sering keluar sendiri padahal pasword sudah benar sampe gagal 3 kali masuk padahal urgent mau dipake kecewa,-11.5,Negatif,MATCH,
49,Anto Boyz,5,2026-09-10,sangat luar biasa,sangat luar biasa,0,Netral,MATCH,
50,Zainal Abidin,5,2026-09-10,mantaap,mantaap,0,Netral,MATCH,
51,Pujianto Agustus,5,2026-09-10,ok bangat yang penting okey mantrap,ok bangat yang penting okey mantrap,1.5,Positif,MATCH,
52,Melani Futria,3,2026-09-10,"dulu mah gampang mau masuk tinggal klik sandi ,skrg agak ribet deh berkali2 jaringan eror gabisa masuk aplikasi mencoba uninstal trs didownload ulang malahan gbs jg",dulu mah gampang mau masuk tinggal klik sandi sekarang agak rumit deh berkali2 jaringan error tidak bisa masuk aplikasi mencoba uninstal terus didownload ulang malahan tidak bisa jg,-4.5,Negatif,MATCH,
53,Malang Bagus,1,2026-09-10,"sekarang malah susah mau ambil no antrean biasa nya tinggal pilih peserta, apa harus bikin akun lagi untuk nik anak biar bisa ambil nomor antrean",sekarang malah sulit mau ambil no antrean biasa nya tinggal pilih peserta apa harus bikin akun lagi untuk nik anak biar bisa ambil nomor antrean,-2.5,Negatif,MATCH,
54,Muslikhin ali khusni,1,2026-09-10,aplikasi bodoh. tiap bulan mesti login.itu bodoh fb aja ga tiap bulan login.perpinter lagi,aplikasi bodoh tiap bulan mesti login itu bodoh fb aja tidak tiap bulan login perpinter lagi,0,Netral,MATCH,
55,Nadine Nazyre,4,2026-09-10,"Setelah di update APK kenapa malah logout sendiri dan tidak bisa login lagi?,.. Padahal sinyal kuat dan semua data yang di masukkan sudah betul,.. Ini gimana ya? Apakah APKnya sudah tidak bisa di gunakan?",setelah di update aplikasi kenapa malah logout sendiri dan tidak bisa login lagi padahal sinyal kuat dan semua data yang di masukkan sudah betul ini gimana ya apakah apknya sudah tidak bisa di gunakan,0,Netral,MATCH,
56,Rachmat Sudrajat,1,2026-09-10,"Gmn mau buka,kudu update wae.Klo Hp bagus dan memory cukup gak masalah,lah ini hp jadul memory kecil .... Malah jd masalah baru lg ini,gmn sy mau berobat",gmn mau buka kudu update wae klo hp bagus dan memory cukup tidak masalah lah ini hp jadul memory kecil malah jd masalah baru lg ini gmn saya mau berobat,2,Positif,MISMATCH_LOW_RATING,Salah klik rating / Human error (Isi ulasan berupa pujian murni)
57,Budi Prayitno,1,2026-09-10,Mengapa tidak ada dukungan mobile jkn ini untuk android 8/9? apa memang pengguna jkn hanya utntuk orang mampu? rakyat kecil tidak boleh menggunakan fasilitas jkn?,mengapa tidak ada dukungan mobile jkn ini untuk android 8 9 apa memang pengguna jkn hanya utntuk orang mampu rakyat kecil tidak boleh menggunakan fasilitas jkn,0,Netral,MATCH,
58,Oki Abdul karom,5,2026-09-10,aplikasi bermanfaat sangat membantu dan mempermudah masyarakat. petugas nya pun ramah tamah dan sangat membantu. terimakasih,aplikasi bermanfaat sangat membantu dan mempermudah masyarakat petugas nya pun ramah tamah dan sangat membantu terimakasih,11,Positif,MATCH,
59,Dennise Saputra,1,2026-09-10,saya daftar JKN mobile dari pagi sampe malem otp sms ga pernah masuk cuman otp Gmail aja yang masuk,saya daftar jkn mobile dari pagi sampe malem otp sms tidak pernah masuk cuman otp gmail aja yang masuk,0,Netral,MATCH,
60,Edo Pandeirot,5,2026-09-10,sangat membantu,sangat membantu,3,Positif,MATCH,
61,Helni Depag,5,2026-09-10,sangat membantu dalam pengecekan kesehatan,sangat membantu dalam pengecekan kesehatan,3,Positif,MATCH,
62,muklas khan,1,2026-09-10,aplikasi tidak bisa di buka,aplikasi tidak bisa di buka,0,Netral,MATCH,
63,Insan Kamil Budiman,1,2026-09-10,"kurang berguna, apk jebakan",kurang berguna aplikasi jebakan,0,Netral,MATCH,
64,Rukwati Yahya,1,2026-09-10,sms verifikasi tidak kunjung masuk,sms verifikasi tidak kunjung masuk,0,Netral,MATCH,
65,Hadi Sancoko,5,2026-09-10,ok,ok,1.5,Positif,MATCH,
66,Dzaki Airil,5,2026-09-10,sangat membantu kami,sangat membantu kami,3,Positif,MATCH,
67,Zikri Maulvi,5,2026-09-10,the best,the best,0,Netral,MATCH,
68,legal,1,2026-09-10,"Apasih bolak balik harus login, rempong bgt",apasih bolak balik harus login rempong banget,0,Netral,MATCH,
69,Wiwit Amelia,5,2026-09-10,mudah dan gampang g pake ribet,mudah dan gampang g pake rumit,0.5,Netral,MATCH,
70,Purwati Wati,4,2026-09-10,lumayan akurat. hanya kadang rumit bolak-balik verifikasi akun. password PIN. jatuhnya kepada org tua yg mulai renta mata krg awas. ingatan mulai lemah. jdi lupa lupa terus PIN atau password. jadi lama prosesnya utk berobat,lumayan akurat hanya kadang rumit bolak-balik verifikasi akun password pin jatuhnya kepada org tua yang mulai renta mata krg awas ingatan mulai lemah jdi lupa lupa terus pin atau password jadi lama prosesnya untuk berobat,-4,Negatif,MISMATCH_HIGH_RATING,"Rating bintang tinggi (4-5), namun isi ulasan memuat kritik/keluhan tajam"
71,Sondang Mayda,3,2026-09-10,srg kali mnt login & logout sesuka nya. muak awak.,srg kali mnt login logout sesuka nya muak awak,-3.5,Negatif,MATCH,
72,Wahyu Wulan,1,2026-09-10,pas masukin nomer nggak bisa terus udah 1 bulan di coba lagi masih nggak bisa padahal nomer masih aktif ada pulsanya juga,pas masukin nomer tidak bisa terus udah 1 bulan di coba lagi masih tidak bisa padahal nomer masih aktif ada pulsanya juga,0,Netral,MATCH,
73,Farhanghani,1,2026-09-10,aplikasi BUSUKKKK,aplikasi busuk,0,Netral,MATCH,
74,Imam bae,1,2026-09-10,apk sampah tiba² keluar sendri IT nya ga besus kerjanya,aplikasi sampah tiba keluar sendri it nya tidak besus kerjanya,-4,Negatif,MATCH,
75,Ashfi Amarilis Wafda,5,2026-09-10,sangat membantu,sangat membantu,3,Positif,MATCH,
76,Zein Arief,1,2026-09-10,apk gk bisa buat reset password kayak nya apk ini hny pajangan,aplikasi tidak bisa buat reset password kayak nya aplikasi ini hny pajangan,0,Netral,MATCH,
77,Darto Gum,5,2026-09-10,good,good,2,Positif,MATCH,
78,Ogi Suhendar,4,2026-09-10,kenapa hp saya tidak dapat meng update jkn dan tidak bisa di buka,kenapa hp saya tidak dapat meng update jkn dan tidak bisa di buka,0,Netral,MATCH,
79,Dede Sopandi,5,2026-09-10,good sangat membantu,good sangat membantu,5,Positif,MATCH,
80,Nurul Anwar,5,2026-09-10,"sangatttt membantu, terimakasih mobile JKN",sangat membantu terimakasih mobile jkn,3,Positif,MATCH,
81,saukat ali,5,2026-09-10,excellent,excellent,0,Netral,MATCH,
82,Fitri YD,5,2026-09-10,pelayanan ini sangat membantu kami warga indonesia,pelayanan ini sangat membantu kami warga indonesia,3,Positif,MATCH,
83,Arie Ramadanie,1,2026-09-10,aplikasi sampah buatnya mahal tapi slalu macet dari otp hingga registrasi tidak bisa diaktifkan,aplikasi sampah buatnya mahal tapi slalu macet dari otp hingga registrasi tidak bisa diaktifkan,-4,Negatif,MATCH,
84,kriswan setiadi,3,2026-09-10,aplikasi bagus setiap mau di pakai harus verifikasi padahal sudah di catat bagus bagus pasword tapi selalu salah beneran bikin capek,aplikasi bagus setiap mau di pakai harus verifikasi padahal sudah di catat bagus bagus pasword tapi selalu salah beneran bikin capek,6,Positif,MATCH,
85,Nopa Tejo mukti,5,2026-09-10,bagus,bagus,2,Positif,MATCH,
86,Rahmat hidayat,5,2026-09-10,membantu untuk pemeriksaan kesehatan,membantu untuk pemeriksaan kesehatan,3,Positif,MATCH,
87,Muhammad Fatir,5,2026-09-10,membantu....masarajat....,membantu masarajat,3,Positif,MATCH,
88,Amelia Ananda,4,2026-09-10,Lola aplikasinya,lola aplikasinya,0,Netral,MATCH,
89,Roni Bekasi,5,2026-09-10,sangat bermanfaat dan membantu mempermudah dalam percobaan,sangat bermanfaat dan membantu mempermudah dalam percobaan,6,Positif,MATCH,
90,Masyadi Aldo,5,2026-09-10,mantap jiwa,mantap jiwa,3,Positif,MATCH,
91,Mochamad Ryan Muzaki,1,2026-09-10,FC trus,fc terus,0,Netral,MATCH,
92,Muhamad Rafi Arifin,1,2026-09-10,sediakan fitur download pdf untuk surat rujukan baru saya kasih bintang 5,sediakan fitur download pdf untuk surat rujukan baru saya kasih bintang 5,0,Netral,MATCH,
93,H yx,1,2026-09-10,apasih tiba² buat daftar online nya hilang aneh banget,apasih tiba buat daftar online nya hilang aneh banget,0,Netral,MATCH,
94,Agus Nur alamsyah,5,2026-09-10,mantap,mantap,3,Positif,MATCH,
95,Zulfandia,5,2026-09-10,sangat membantu,sangat membantu,3,Positif,MATCH,
96,Antonius Adi,4,2026-09-10,"bagus dan sangat membantu,tidak perlu harus ke kantor pusat untuk mengubah data.tetap semangat.",bagus dan sangat membantu tidak perlu harus ke kantor pusat untuk mengubah data tetap semangat,5,Positif,MATCH,
97,Mach Haris,5,2026-09-10,keren perubahan datanya cepat,keren perubahan datanya cepat,5,Positif,MATCH,
98,Wahyudi Wahyudi,5,2026-09-10,mudah di akses,mudah di akses,2.5,Positif,MATCH,
99,candy,3,2026-09-10,"mau verifikasi wajah gagal terus, padahal udah ikutin instruksi. tempat juga udah terang. siapa si ini tim IT nya. tolong SEGERA diperbaiki. mau kontrol aja dipersulit.",mau verifikasi wajah gagal terus padahal udah ikutin instruksi tempat juga udah terang siapa si ini tim it nya tolong segera diperbaiki mau kontrol aja dipersulit,-6,Negatif,MATCH,
100,Gace Imut,1,2026-09-10,Apaan ini tau tau logout... sendiri.. Percuma jg pake aplikasi bgini ga bykk pengaruh jg.. Malah Ribet. logout sendiri.,apaan ini tau tau logout sendiri percuma jg pake aplikasi bgini tidak bykk pengaruh jg malah rumit logout sendiri,-2,Negatif,MATCH,
101,Dewi,5,2026-09-10,sangat membantu,sangat membantu,3,Positif,MATCH,
102,Achmad pupun istiawan,1,2026-09-10,rekam wajah terlalu lama,rekam wajah terlalu lama,-2,Negatif,MATCH,
103,Hamba' Allah,1,2026-09-10,"No nik sdh sesuai ktp di blng slh, apk sampah",no nik sudah sesuai kartu tanda penduduk di blng slh aplikasi sampah,-4,Negatif,MATCH,
104,Beni Saputra,5,2026-09-10,jos,jos,0,Netral,MATCH,
105,Sis Wanto,4,2026-09-10,knp aplikasi JKN tidak bisa di download ulang setelah di paus dan hilang dr aplikasi play store,knp aplikasi jkn tidak bisa di download ulang setelah di paus dan hilang dr aplikasi play store,0,Netral,MATCH,
106,Risky Aditiya,1,2026-09-10,lama bet verifikasi sms nya cok 300 detik,lama bet verifikasi sms nya cok 300 detik,-2,Negatif,MATCH,
107,Muhammad Fauzan,1,2026-09-10,"kak mau nanya kan saya ingin membayar tunggakan kis/BPJS ,saya ingin bayar dengan membayar pake BCA tapi kenapa gak ada kak tolong jawab kak🙏",kak mau nanya kan saya ingin membayar tunggakan kis bpjs saya ingin bayar dengan membayar pake bca tapi kenapa tidak ada kak tolong jawab kak,0,Netral,MATCH,
108,Aw we,5,2026-09-10,sangat baik,sangat baik,2,Positif,MATCH,
109,Santi Shyantie,5,2026-09-10,mantap,mantap,3,Positif,MATCH,
110,Mayana veronika Sembiring,5,2026-09-10,sangat membantu tanpa harus ke kantor nya 🥰,sangat membantu tanpa harus ke kantor nya,3,Positif,MATCH,
111,AbANg TamFan,1,2026-09-10,"Rata² apl buatan pemerintah terkesan asal asalan,. padahal dana pembuatannya sangat besar. sering error, logout sendiri.",rata apl buatan pemerintah terkesan asal asalan padahal dana pembuatannya sangat besar sering error logout sendiri,-2.5,Negatif,MATCH,
112,fahmy saleh,5,2026-09-10,mantab deh,mantap deh,3,Positif,MATCH,
113,Hendra Rock,1,2026-09-10,"aplikasi aneh dua Minggu daftar tinggal dipermudah kirim sms aja ko repot gagal terus,. kalo. gak niat buat aplikasi mnding offline aja lah",aplikasi aneh dua minggu daftar tinggal dipermudah kirim sms aja ko repot gagal terus kalo tidak niat buat aplikasi mnding offline aja lah,-2.5,Negatif,MATCH,
114,Samsu Syam,2,2026-09-10,"aplikasi ribet ,minta terus login,kadang keluar sendiri",aplikasi rumit minta terus login kadang keluar sendiri,-5,Negatif,MATCH,
115,Dedy Irawan,5,2026-09-10,sangat membatu,sangat membatu,0,Netral,MATCH,
116,makunimau family,5,2026-09-10,sangat membantu untuk meningkatkan pelayanan BPJS,sangat membantu untuk meningkatkan pelayanan bpjs,3,Positif,MATCH,
117,Aris Vauzi,5,2026-09-10,excellent,excellent,0,Netral,MATCH,
118,Lestari Asha,5,2026-09-10,Alhamdulillah app JKN Mobile skrg sdh semakin bagus. Membantu banget kalau mau periksa ke faskes/RS. Semoga ke depan makin bagus lagi,alhamdulillah aplikasi jkn mobile sekarang sudah semakin bagus membantu banget kalau mau periksa ke faskes rs semoga ke depan makin bagus lagi,7,Positif,MATCH,
119,Lukman Hakim,5,2026-09-10,mantap,mantap,3,Positif,MATCH,
120,WITTIN INDRASARI,1,2026-09-10,aplikasi nya sering lemot dan keluar sendiri,aplikasi nya sering lambat dan keluar sendiri,-5.5,Negatif,MATCH,
121,rani febritriani,1,2026-09-10,"bojs bobrok. udh didaftarin tindakan tgl 10 sep, de sebelum puasa krn doketer mau hj, malah eror, mundur jd tgl 15. dikira g punya kerjaan leha leha doang.",bojs bobrok sudah didaftarin tindakan tgl 10 sep de sebelum puasa karena doketer mau hj malah error mundur jd tgl 15 dikira g punya kerjaan leha leha doang,-2.5,Negatif,MATCH,
122,Blackdoff69 doff69,1,2026-09-10,sering error,sering error,-2.5,Negatif,MATCH,
123,Arie Muhlapin,5,2026-09-10,Memudahkan pelayanan masyarakat,memudahkan pelayanan masyarakat,3,Positif,MATCH,
124,Sri Muliati,5,2026-09-10,Sangat membantu,sangat membantu,3,Positif,MATCH,
125,Widya Safitri Zebua,1,2026-09-10,TOLONG YA DI PERBAIKI INI APLIKASI. BUKANNYA MEMUDAHKAN MALAH NYUSAHIN! BANYAK BUG! NGELAG PARAH! SERING TIBA-TIBA LOGOUT SENDIRI!,tolong ya di perbaiki ini aplikasi bukannya memudahkan malah nyusahin banyak bug ngelag buruk sering tiba-tiba logout sendiri,-2,Negatif,MATCH,
