No,User Name,Rating Bintang,Tanggal,Isi Ulasan Asli,Master Ground Truth,Prediksi ML (Naive Bayes),Confidence Score (%),Prob Positif (%),Prob Negatif (%),Status Anomali
1,Syamsir Spi88,5,2026-09-11,sangat bagus,Positif,Positif,99.8,99.8,0.2,Sesuai
2,Fariz Mashuri,5,2026-09-11,Aplikasinya sangat bagus,Positif,Positif,99.9,99.9,0.1,Sesuai
3,don neno,5,2026-09-11,pln mobole lebih memudahkan ketika ada gangguan listrik di rumah,Positif,Positif,99.7,99.7,0.3,Sesuai
4,Sumpeno Venux,5,2026-09-11,mantaaap,Positif,Positif,99.7,99.7,0.2,Sesuai
5,Tomi Satrio,5,2026-09-11,good job,Positif,Positif,98.5,98.5,1.4,Sesuai
6,Siti Munawaroh,5,2026-09-11,PLN makin,Positif,Positif,99.6,99.6,0.3,Sesuai
7,I Made Gede Suparsa,5,2026-09-11,aplikasi sangat bagus dan sangat membantu,Positif,Positif,99.9,99.9,0.1,Sesuai
8,Hadi purnomo,5,2026-09-11,terimakasih pak PLN rambipuji,Positif,Positif,98.6,98.6,1.3,Sesuai
9,an oa,5,2026-09-11,"keren.. pelayanan cepat tanggap, tepat, bersih. (Sunarno)",Positif,Positif,99.2,99.2,0.7,Sesuai
10,Mahfud10,5,2026-09-11,bagus cepat dan tanggap,Positif,Positif,99.7,99.7,0.2,Sesuai
11,DODDY ALVERO,5,2026-09-11,tetap yg terbaik👍,Positif,Positif,99.3,99.3,0.6,Sesuai
12,Inym Sudarsana,5,2026-09-11,sangat bagus,Positif,Positif,99.8,99.8,0.2,Sesuai
13,Seli Kause,5,2026-09-11,dengan mubali sangat membantu,Positif,Positif,99.1,99.1,0.8,Sesuai
14,Manirah Nirah,5,2026-09-11,terimakasih PLN,Positif,Positif,99.7,99.7,0.3,Sesuai
15,Citra Kirana,5,2026-09-11,pelayanan yang bagus melalui pln mobile,Positif,Positif,99.6,99.6,0.4,Sesuai
16,Aef Syaepulloh,5,2026-09-11,pln mobile uwoow banget,Positif,Positif,99,99,0.9,Sesuai
17,Deni rahmat prasetia,5,2026-09-11,aplikasi pln sangat membantu sekali joss jiss,Positif,Positif,99.5,99.5,0.4,Sesuai
18,Agus Wiranto,5,2026-09-11,sangat mempermudah,Positif,Positif,99.8,99.8,0.2,Sesuai
19,Annisa,5,2026-09-11,"saya sangat puas dengan aplikasi pln mobil karena beli tiket token dan bayar tagihan listrik cepat sekali, transaksinya langsung berhasil tanpa kendala.",Positif,Positif,99.5,99.5,0.4,Sesuai
20,patmi padhan,5,2026-09-11,pln mobile mumadah kan kita untuk bidang kelistrikan,Positif,Positif,98.8,98.8,1.1,Sesuai
21,amun angker,5,2026-09-11,kng.123,Positif,Positif,97.7,97.7,2,Sesuai
22,Roman,5,2026-09-11,Aplikasi ini sangat bermanfaat.,Positif,Positif,99.7,99.7,0.2,Sesuai
23,armaya putra,5,2026-09-11,"semakin mudah dan lebih cepat,,,,,.",Positif,Positif,99.8,99.8,0.2,Sesuai
24,Michael Septian,5,2026-09-11,mempermudah mengecek pemakaian,Positif,Positif,99.1,99.1,0.8,Sesuai
25,Ipul Saputra,5,2026-09-11,mantep de aplikasih pln mobile makin ok aja,Positif,Positif,99.4,99.4,0.6,Sesuai
26,Lalen,1,2026-09-11,SPKLU type AC banyak di ganti ma type DC kenapa ? udh tau fasilitas blm mencukupi apalagi spklu R2 minim bangeutt dh gitu serong rusak / error. pdhal SPKLU type AC sangatt membantu pengguna molis bangeutt PLN / BUMN buang2 duit rakyat @pajak ???,Negatif,Positif,67,67,31.4,💡 Bintang 1-2 tapi Prediksi ML Positif (Pujian / Salah Klik)
27,Fany Odilia,5,2026-09-11,sangat berguna untuk sehari hari,Positif,Positif,98.9,98.9,1,Sesuai
28,jantra nampati,5,2026-09-11,cun....,Positif,Positif,98.6,98.6,1.2,Sesuai
29,Ina Nifu,5,2026-09-11,apk sangat membantu dalam proses gangguan listrik,Positif,Positif,99.8,99.8,0.2,Sesuai
30,Edi saputra,5,2026-09-11,sangat memudah kan dan lebih cepat👍,Positif,Positif,99.6,99.6,0.4,Sesuai
31,Muhadar 192,5,2026-09-11,Aplikasi PLN mobile sngat bereh untuk laporan gangguan tentang kelistrikan,Positif,Positif,99.6,99.6,0.3,Sesuai
32,Indah indi,5,2026-09-11,"aplikasi pln mobile sangat membantu,fitur fiturnya sangat lengkap,sepertipembayaran taggihan listrik,pengaduan gangguan listrik,sambung baru,ubah saya atau migrasi.terimakasi pln mobile",Positif,Positif,99.6,99.6,0.4,Sesuai
33,Hafiz Jalil,5,2026-09-11,terbaik,Positif,Positif,99.7,99.7,0.3,Sesuai
