emoji,translation,sentiment,description
👍,sangat bagus,Positif,Jempol apresiasi bagus
👍🏻,sangat bagus,Positif,Jempol apresiasi kulit cerah
👍🏼,sangat bagus,Positif,Jempol apresiasi kulit langsat
👍🏽,sangat bagus,Positif,Jempol apresiasi kulit sawo
👍🏾,sangat bagus,Positif,Jempol apresiasi kulit manis
👍🏿,sangat bagus,Positif,Jempol apresiasi kulit gelap
🙏,tolong,Positif,Tangan bersyukur terima kasih
🙏🏻,terima kasih,Positif,Tangan bersyukur kulit cerah
🙏🏼,terima kasih,Positif,Tangan bersyukur kulit langsat
🙏🏽,terima kasih,Positif,Tangan bersyukur kulit sawo
🙏🏾,terima kasih,Positif,Tangan bersyukur kulit manis
🙏🏿,terima kasih,Positif,Tangan bersyukur kulit gelap
🤲,doa bersyukur,Positif,Kedua tangan berdoa
🤲🏻,doa bersyukur,Positif,Kedua tangan berdoa kulit cerah
🤲🏼,doa bersyukur,Positif,Kedua tangan berdoa kulit langsat
🤲🏽,doa bersyukur,Positif,Kedua tangan berdoa kulit sawo
🤲🏾,doa bersyukur,Positif,Kedua tangan berdoa kulit manis
🤲🏿,doa bersyukur,Positif,Kedua tangan berdoa kulit gelap
👏,sangat bagus bangga,Positif,Tepuk tangan apresiasi
👏🏻,sangat bagus bangga,Positif,Tepuk tangan apresiasi kulit cerah
👏🏼,sangat bagus bangga,Positif,Tepuk tangan apresiasi kulit langsat
👏🏽,sangat bagus bangga,Positif,Tepuk tangan apresiasi kulit sawo
👏🏾,sangat bagus bangga,Positif,Tepuk tangan apresiasi kulit manis
👏🏿,sangat bagus bangga,Positif,Tepuk tangan apresiasi kulit gelap
🙌,luar biasa bersorak,Positif,Angkat tangan bersyukur gembira
🙌🏻,luar biasa bersorak,Positif,Angkat tangan bersyukur
🙌🏼,luar biasa bersorak,Positif,Angkat tangan bersyukur
🙌🏽,luar biasa bersorak,Positif,Angkat tangan bersyukur
🙌🏾,luar biasa bersorak,Positif,Angkat tangan bersyukur
🙌🏿,luar biasa bersorak,Positif,Angkat tangan bersyukur
👌,bagus pas mantap,Positif,Tangan tanda oke pas
👌🏻,bagus pas mantap,Positif,Tangan tanda oke
👌🏼,bagus pas mantap,Positif,Tangan tanda oke
👌🏽,bagus pas mantap,Positif,Tangan tanda oke
👌🏾,bagus pas mantap,Positif,Tangan tanda oke
👌🏿,bagus pas mantap,Positif,Tangan tanda oke
💪,hebat semangat kuat,Positif,Lengan otot semangat hebat
💪🏻,hebat semangat kuat,Positif,Lengan otot semangat
💪🏼,hebat semangat kuat,Positif,Lengan otot semangat
💪🏽,hebat semangat kuat,Positif,Lengan otot semangat
💪🏾,hebat semangat kuat,Positif,Lengan otot semangat
💪🏿,hebat semangat kuat,Positif,Lengan otot semangat
🫡,hormat respek terbaik,Positif,Wajah hormat siap respek
🤝,terima kasih sepakat,Positif,Jabat tangan kerjasama puas
🫶,cinta suka puas,Positif,Tangan bentuk hati cinta
✌️,sukses damai lancar,Positif,Jari peace kemenangan lancar
✌,sukses damai lancar,Positif,Jari peace kemenangan
🤞,harapan baik lancar,Positif,Jari silang harapan baik
🫰,cinta suka mini,Positif,Jari love finger heart
❤️,sangat suka cinta,Positif,Hati merah cinta puas
❤,sangat suka cinta,Positif,Hati merah cinta
💖,sangat suka bahagia,Positif,Hati berkilau senang
💗,suka senang berkembang,Positif,Hati cinta gembira
💓,suka senang berdebar,Positif,Hati berdetak senang
💞,suka senang berputar,Positif,Dua hati berputar gembira
💕,sangat suka senang,Positif,Dua hati kecil cinta
💘,suka cinta panah,Positif,Hati panah asmara puas
💝,hadiah terima kasih,Positif,Hati pita bersyukur hadiah
💟,suka senang tulus,Positif,Hati ungu dekoratif
❣️,suka cinta seru,Positif,Tanda seru hati puas
💙,suka puas mantap,Positif,Hati biru tenang puas
💚,suka sehat lancar,Positif,Hati hijau kesehatan mantap
💛,suka ceria puas,Positif,Hati kuning ceria gembira
💜,suka bahagia senang,Positif,Hati ungu gembira
🧡,suka hangat puas,Positif,Hati oranye hangat
🤍,tulus terima kasih,Positif,Hati putih suci tulus
🤎,suka puas mantap,Positif,Hati cokelat stabil
⭐,bintang apresiasi bagus,Positif,Bintang nilai ulasan
🌟,sangat bagus bersinar istimewa,Positif,Bintang bersinar megah
✨,luar biasa istimewa bagus,Positif,Kilauan bintang istimewa
💫,luar biasa memukau,Positif,Bintang pusing memukau
💯,sempurna sangat puas terbaik,Positif,Nilai seratus sempurna
🔥,sangat keren mantap hebat,Positif,Api semangat keren
🎉,selamat sukses perayaan,Positif,Trompet pesta perayaan sukses
🎊,selamat sukses gembira,Positif,Bola konfeti pesta gembira
🥳,sangat senang puas pesta,Positif,Wajah pesta topi terompet gembira
🥰,sangat suka bahagia puas,Positif,Wajah senyum tiga hati cinta
😍,sangat suka kagum gembira,Positif,Wajah mata bentuk hati kagum
🤩,sangat kagum takjub luar biasa,Positif,Wajah mata bintang kagum
😘,senang bersyukur cinta,Positif,Wajah cium hati cinta
😗,senang ramah manis,Positif,Wajah cium santai ramah
😚,senang puas bahagia,Positif,Wajah cium mata tertutup puas
😙,senang ramah gembira,Positif,Wajah cium senyum bahagia
😊,senang bahagia ramah,Positif,Wajah senyum hangat ramah
😁,sangat senang gembira puas,Positif,Wajah senyum gigi lebar puas
😃,senang gembira terbuka,Positif,Wajah senyum mata besar ceria
😄,senang bahagia gembira,Positif,Wajah senyum mata menyipit bahagia
😆,tertawa puas senang,Positif,Wajah tertawa mata terpejam puas
😀,senang gembira puas,Positif,Wajah seringai gembira
☺,senyum manis ramah,Positif,Wajah senyum manis ramah
☺️,senyum manis ramah,Positif,Wajah senyum ramah
🙂,senang cukup ramah,Positif,Wajah senyum sedikit cukup
😇,sangat baik bersyukur tulus,Positif,Wajah malaikat suci bersyukur
😎,hebat keren mantap,Positif,Wajah kacamata hitam keren mantap
🤗,ramah senang hangat membantu,Positif,Wajah memeluk ramah bersahabat
😋,puas nikmat senang,Positif,Wajah lidah lezat puas
😻,suka kagum gembira,Positif,Kucing mata hati gembira
😺,senang gembira ramah,Positif,Kucing senyum gembira
😸,tertawa gembira puas,Positif,Kucing seringai bahagia puas
🏥,rumah sakit faskes,Positif,Simbol rumah sakit BPJS
🩺,dokter medis periksa,Positif,Stetoskop kesehatan medis
💊,obat sehat lancar,Positif,Kapsul obat BPJS lancar
💉,vaksin suntik sehat,Positif,Suntikan medis sehat
✅,berhasil sukses benar lancar,Positif,Centang hijau berhasil
✔️,sukses berhasil benar,Positif,Centang tebal sukses benar
☑️,sukses selesai tuntas,Positif,Kotak centang sukses selesai
☑,sukses selesai tuntas,Positif,Kotak centang sukses
👎,sangat buruk kecewa jelek,Negatif,Jempol ke bawah buruk kecewa
👎🏻,sangat buruk kecewa jelek,Negatif,Jempol ke bawah buruk cerah
👎🏼,sangat buruk kecewa jelek,Negatif,Jempol ke bawah buruk langsat
👎🏽,sangat buruk kecewa jelek,Negatif,Jempol ke bawah buruk sawo
👎🏾,sangat buruk kecewa jelek,Negatif,Jempol ke bawah buruk manis
👎🏿,sangat buruk kecewa jelek,Negatif,Jempol ke bawah buruk gelap
😡,marah kesal emosi parah,Negatif,Wajah merah sangat marah kesal
😠,marah kesal jengkel geram,Negatif,Wajah marah geram jengkel
🤬,marah mengumpat sangat kesal,Negatif,Wajah sensor umpatan marah
🤮,mual muntah muak menjijikkan,Negatif,Wajah muntah hijau muak parah
🤢,mual pusing muak buruk,Negatif,Wajah mual jijik muak
😭,menangis sedih kecewa berat,Negatif,Wajah menangis deras sedih parah
😢,menangis sedih kecewa,Negatif,Wajah menangis satu tetes sedih
😔,sedih kecewa murung lesu,Negatif,Wajah sedih merenung murung
😞,sangat kecewa putus asa,Negatif,Wajah kecewa berat putus asa
😣,sulit menderita tertekan,Negatif,Wajah menderita susah payah
😩,lelah frustrasi letih susah,Negatif,Wajah lelah frustrasi parah
😫,sangat lelah lelah frustrasi,Negatif,Wajah letih mengeluh parah
😓,keringat dingin cemas kecewa,Negatif,Wajah keringat dingin cemas
🥲,tersenyum getir sedih kecewa,Negatif,Wajah senyum air mata sedih getir
😤,kesal jengkel napas marah,Negatif,Wajah napas marah hidung kesal
🥵,kepanasan emosi meledak,Negatif,Wajah merah kepanasan stres emosi
🥶,membeku kaku beku gagal,Negatif,Wajah biru kedinginan macet beku
😱,terkejut panik takut ngeri,Negatif,Wajah teriak ketakutan panik ngeri
😨,takut cemas khawatir panik,Negatif,Wajah takut cemas khawatir
😰,cemas keringat dingin takut,Negatif,Wajah cemas mulut biru panik
😥,kecewa lega sedih cemas,Negatif,Wajah sedih cemas kecewa
🥺,memohon sedih memelas kecewa,Negatif,Wajah memohon mata besar sedih
💔,patah hati kecewa hancur,Negatif,Hati retak hancur patah kecewa
🥀,layu mati hancur kecewa,Negatif,Mawar layu mati rusak
💩,kotoran sampah sangat buruk,Negatif,Kotoran sampah jelek
🔪,bahaya ancaman rusak,Negatif,Pisau belati tajam ancaman bahaya
💥,rusak meledak hancur error,Negatif,Ledakan tubrukan tabrakan hancur
💣,bom bahaya hancur rusak,Negatif,Bom waktu bahaya meledak
⚠️,peringatan kendala waspada,Negatif,Tanda seru peringatan
⚠,peringatan masalah bahaya error,Negatif,Simbol peringatan bahaya
🚨,darurat bahaya masalah alarm,Negatif,Lampu sirine darurat masalah
🛑,berhenti macet stop gagal,Negatif,Rambu segi delapan stop macet
⛔,dilarang tutup macet tidak bisa,Negatif,Tanda dilarang masuk stop macet
🚫,dilarang tidak bisa gagal tolak,Negatif,Lingkaran garis silang tolak
❌,gagal salah ditolak error,Negatif,Tanda silang merah gagal
❎,gagal silang salah tolak,Negatif,Kotak tombol silang tolak salah
🗑️,sampah buang hapus jelek,Negatif,Tempat sampah buang jelek
🗑,sampah buang hapus jelek,Negatif,Tempat sampah buang
🚮,buang sampah kotor buruk,Negatif,Tanda buang sampah ampas
🤦,kecewa heran tidak habis pikir,Negatif,Tepok jidat lelah
🤦‍♂️,kecewa heran tidak habis pikir,Negatif,Tepok jidat pria
🤦‍♀️,kecewa heran tidak habis pikir,Negatif,Tepok jidat wanita
🤦🏻,pusing kepala frustrasi tepuk jidat,Negatif,Tepuk jidat kesal cerah
🤦🏼,pusing kepala frustrasi tepuk jidat,Negatif,Tepuk jidat kesal langsat
🤦🏽,pusing kepala frustrasi tepuk jidat,Negatif,Tepuk jidat kesal sawo
🤦🏾,pusing kepala frustrasi tepuk jidat,Negatif,Tepuk jidat kesal manis
🤦🏿,pusing kepala frustrasi tepuk jidat,Negatif,Tepuk jidat kesal gelap
🤷,bingung tidak tahu pasrah,Negatif,Angkat bahu bingung
🤷‍♂️,tidak tahu bingung pasrah kecewa,Negatif,Pria mengangkat bahu bingung pasrah
🤷‍♀️,tidak tahu bingung pasrah kecewa,Negatif,Wanita mengangkat bahu bingung pasrah
🙄,jengkel kesal malas bosan,Negatif,Wajah memutar bola mata malas jengkel
😒,sinis tidak suka jengkel sebal,Negatif,Wajah tidak puas sinis jengkel
🥱,bosan lambat lelah menguap,Negatif,Wajah menguap bosan lemot lambat
😴,tidur lambat tidak respon lemot,Negatif,Wajah tidur pulas lambat lemot
😑,datar kecewa tidak berguna malas,Negatif,Wajah tanpa ekspresi kesal datar
😐,datar kecewa biasa saja kaku,Negatif,Wajah netral datar kaku kecewa
😶,bungkam tanpa kata kecewa pasrah,Negatif,Wajah tanpa mulut bisu pasrah
🤨,curiga ragu tidak percaya skeptis,Negatif,Wajah alis terangkat curiga ragu
🧐,meneliti curiga rumit ribet,Negatif,Wajah memakai monokel rumit ribet
🤥,bohong palsu penipu tipu,Negatif,Wajah hidung panjang penipu bohong
🫠,meleleh hancur putus asa lelah,Negatif,Wajah meleleh putus asa lelah
🫥,hilang tidak tampak kosong kabur,Negatif,Wajah garis putus-putus hilang error
🤯,pusing meledak rumit bingung,Negatif,Kepala meledak pusing parah ribet
🥴,pusing pusing sempoyongan mabuk,Negatif,Wajah pusing mabuk oleng error
😵,pusing pusing pingsan mabuk eror,Negatif,Wajah mata silang pusing eror mati
😵‍💫,pusing berputar putar bingung eror,Negatif,Wajah mata spiral pusing eror
😷,sakit keluhan medis bermasalah,Negatif,Wajah pakai masker medis keluhan
🤒,demam sakit keluhan bermasalah,Negatif,Wajah termometer demam keluhan
🤕,terluka sakit celaka perban,Negatif,Wajah perban kepala luka sakit
🤧,bersin sakit flu keluhan,Negatif,Wajah bersin tisu sakit keluhan
💀,mati rusak hancur parah,Negatif,Tengkorak mati rusak
☠️,racun bahaya mati hancur,Negatif,Tengkorak tulang silang bahaya mati
☠,racun bahaya mati hancur,Negatif,Tengkorak tulang silang bahaya
🤡,badut lelucon mengecewakan,Negatif,Wajah badut sindiran
👹,iblis monster jahat buruk seram,Negatif,Monster ogre merah jahat seram
👺,iblis jahat jahil sombong buruk,Negatif,Goblin hidung panjang jahat sombong
👿,jahat marah iblis buruk kesal,Negatif,Iblis ungu marah bertanduk kesal
😈,licik jahat curang buruk,Negatif,Iblis ungu senyum licik curang
⏳,lambat antri menunggu lama lemot,Negatif,Jam pasir menunggu lama lemot lambat
⌛,lambat waktu habis menunggu lemot,Negatif,Jam pasir waktu habis lemot
⏱️,menunggu lama lambat lemot,Negatif,Stopwatch waktu lama lemot lambat
⏱,menunggu lama lambat lemot,Negatif,Stopwatch waktu lama lemot
⏰,menunggu lambat buang waktu,Negatif,Jam beker waktu habis lambat
📉,kinerja turun memburuk jelek,Negatif,Grafik tren menurun
💸,uang melayang boros biaya,Negatif,Uang terbang berkurang
💳,kartu debit kredit pembayaran,Positif,Kartu bank transaksi
🔒,aman terkunci terproteksi,Positif,Gembok keamanan proteksi
‼️,sangat penting keluhan darurat parah,Negatif,Tanda seru ganda darurat parah
❗,peringatan masalah tolong perbaiki,Negatif,Tanda seru peringatan tegas masalah
