pattern,rule_type,target_sentiment
kecewa parah,override_high_rating,Negatif
sangat buruk,override_high_rating,Negatif
parah banget,override_high_rating,Negatif
tidak berguna,override_high_rating,Negatif
jelek sekali,override_high_rating,Negatif
eror terus,override_high_rating,Negatif
error terus,override_high_rating,Negatif
gagal terus,override_high_rating,Negatif
aplikasi sampah,override_high_rating,Negatif
hancur,override_high_rating,Negatif
tidak membantu,override_high_rating,Negatif
tidak bisa login,override_high_rating,Negatif
gabisa login,override_high_rating,Negatif
sulit login,override_high_rating,Negatif
susah login,override_high_rating,Negatif
makin susah login,override_high_rating,Negatif
dipersulit,override_high_rating,Negatif
mempersulit,override_high_rating,Negatif
tambah mempersulit,override_high_rating,Negatif
sangat mengecewakan,override_high_rating,Negatif
buruk sekali,override_high_rating,Negatif
parah sekali,override_high_rating,Negatif
rugi pulsa,override_high_rating,Negatif
habis pulsa,override_high_rating,Negatif
buang pulsa,override_high_rating,Negatif
bintang 1 rasa bintang 5,override_high_rating,Negatif
bintang satu rasa bintang lima,override_high_rating,Negatif
bintang 5 biar dibaca,override_high_rating,Negatif
bintang lima biar dibaca,override_high_rating,Negatif
bintang 5 biar direspon,override_high_rating,Negatif
bintang lima biar direspon,override_high_rating,Negatif
bintang 5 biar nongol,override_high_rating,Negatif
bintang lima biar nongol,override_high_rating,Negatif
bintang 5 biar viral,override_high_rating,Negatif
bintang 5 biar keatas,override_high_rating,Negatif
bintang 5 buat pajangan,override_high_rating,Negatif
bintang lima buat pajangan,override_high_rating,Negatif
bintang 5 khusus untuk keluhan,override_high_rating,Negatif
sangat tidak berguna,override_high_rating,Negatif
sangat tidak membantu,override_high_rating,Negatif
sangat tidak memuaskan,override_high_rating,Negatif
sangat tidak menguntungkan,override_high_rating,Negatif
tidak ada gunanya,override_high_rating,Negatif
tidak ada faedahnya,override_high_rating,Negatif
gak ada gunanya,override_high_rating,Negatif
ga ada gunanya,override_high_rating,Negatif
gak guna sama sekali,override_high_rating,Negatif
ga guna sama sekali,override_high_rating,Negatif
sama saja bohong,override_high_rating,Negatif
sama aja bohong,override_high_rating,Negatif
ujung ujungnya ke kantor,override_high_rating,Negatif
ujung2nya ke kantor,override_high_rating,Negatif
ujungnya ke kantor,override_high_rating,Negatif
tidak memberikan solusi,override_high_rating,Negatif
tidak ada solusi,override_high_rating,Negatif
buang buang waktu,override_high_rating,Negatif
buang waktu pulsa,override_high_rating,Negatif
bikin emosi,override_high_rating,Negatif
bikin kesel,override_high_rating,Negatif
bikin jengkel,override_high_rating,Negatif
bikin darah tinggi,override_high_rating,Negatif
menyusahkan masyarakat,override_high_rating,Negatif
mempersulit rakyat,override_high_rating,Negatif
tidak bisa dibuka sama sekali,override_high_rating,Negatif
gak bisa dibuka sama sekali,override_high_rating,Negatif
ga bisa dibuka sama sekali,override_high_rating,Negatif
gabisa dibuka sama sekali,override_high_rating,Negatif
gagal verifikasi terus,override_high_rating,Negatif
verifikasi gagal terus,override_high_rating,Negatif
verifikasi wajah gagal terus,override_high_rating,Negatif
otp tidak masuk terus,override_high_rating,Negatif
otp ga masuk masuk,override_high_rating,Negatif
otp gak masuk masuk,override_high_rating,Negatif
otp tidak kunjung datang,override_high_rating,Negatif
server down terus,override_high_rating,Negatif
aplikasi bobrok,override_high_rating,Negatif
aplikasi ampas,override_high_rating,Negatif
aplikasi jelek banget,override_high_rating,Negatif
aplikasi tidak bermutu,override_high_rating,Negatif
aplikasi tidak jelas,override_high_rating,Negatif
pelayanan sangat buruk,override_high_rating,Negatif
pelayanan mengecewakan,override_high_rating,Negatif
