slang,formal
14000,layanan call center mandiri 14000
165,layanan call
@,di
aampah,sampah buruk
abis,habis
ad,ada
adlh,adalah
adm,admin
adminn,admin
afaik,as far as i know
agan,tuan
agr,agar
ahaha,haha
aj,saja
aja,saja
ajaa,saja
ajah,saja
ajep-ajep,dunia gemerlap
ak,aku
akika,aku
akkoh,aku
akta lahir,dokumen akta
akun keblokir,akun pengguna terblokir sistem
akuu,aku
akuwh,aku
alay,norak
alhamdulillah,syukur
allahuakbar,hebat
alow,halo
ambilin,ambilkan
ambyar,rusak
ampas,jelek
ampe,sampai
ampek,sampai
ancur,rusak buruk
ane,saya
anj,kesal marah buruk
anjay,kesal
anjayy,kesal marah
anjg,kesal marah buruk
anjing,kesal marah buruk
anjingg,umpatan kesal
anjir,kesal
anjirr,kesal marah
anjrit,kesal
anter,antar
antrean faskes,antrean fasilitas
antrean online,antrean faskes
antri,antre
antrian,antrean
antrian habis,kuota pendaftaran
antrian online,antrean faskes
antrian pkm,antrean puskesmas
antrian poli,antrean poliklinik
antrian rs,antrean rumah
anying,kesal
anyingg,umpatan kesal
ap2,apa-apa
apa2,apa-apa
apasih,apa sih
apdate,perbarui
apdet,perbarui
apes,sial
apik,bagus
apik tenan,bagus
apotek,apotek farmasi
apotik,apotek farmasi
aps,apa
aq,aku
aquwh,aku
asap,secepatnya segera
asbun,asal bunyi
aseekk,asyik
asekk,asyik
asem,asam
asli,benar-benar
aspal,asli tetapi palsu
astaga,kecewa
astagfirullah,bersabar kecewa
astaghfirullah,bersabar kecewa
astul,asal tulis
asu,kesal
ato,atau
auto close,aplikasi keluar tertutup sendiri error
auto debet,pembayaran otomatis
autodebet,pembayaran otomatis
awak,saya
ay,sayang
ayank,sayang
b4,sebelum
b5,bintang lima
babi,kesal
baca kartu,pindai kartu nfc
badan usaha,peserta pekerja
bagos,bagus
bagus,bagus
bagus bgt,bagus
bagus bnget,sangat bagus
baguss,sangat bagus
baguuus,sangat bagus
bahagia,sangat senang
bajingan,umpatan sangat
bakalan,akan
balikin ke versi lama,kecewa minta pengembalian ke versi aplikasi lama
bandes,bantuan desa
bangedh,banget
bangeet,sangat
banget,sangat
bangett,sangat
bangettt,sangat
bangsat,kesal marah buruk
bangsattt,umpatan sangat
banpol,bantuan polisi
banpur,bantuan tempur
bapuk,sangat jelek
basbang,basi
bayar bertahap,rencana pembayaran
bayar premi,bayar iuran
bayarin,bayar
bayi baru lahir,penambahan data
bbrp,beberapa
bcanda,bercanda
bdg,bandung
begajulan,nakal
bego,buruk bodoh
begoo,sangat bodoh
belibet,sangat berbelit-belit
beliin,belikan
belom,belum
bencong,banci
bener,benar
bener2,benar-benar
beneran,benar-benar
bentar,sebentar
ber3,bertiga
berbelit,sangat berbelit-belit
beresin,selesaikan
berfaedah,sangat bermanfaat
berguna,sangat berguna
berkah,bermanfaat berkah
bermanfaaat,sangat bermanfaat
berobat,layanan pengobatan
berpa,berapa
bertolak belakang,tidak sesuai buruk
best,terbaik luar
bete,bosan
beud,banget
beut,sangat
bg,abang
bgini,begini
bgitu,begitu
bgmn,bagaimana
bgs,bagus
bgst,umpatan sangat
bgt,sangat
bgtt,banget
bgttt,sangat
bgtu,begitu
bi fast,layanan transfer cepat bi-fast
bi-fast,layanan transfer cepat bi-fast
biaya sms,biaya pulsa
bidan,bidan faskes
bifast,layanan transfer cepat bi-fast
bifast murah,fitur transfer bi-fast sangat hemat memuaskan
bijimane,bagaimana
bikin,buat
bikin darah tinggi,sangat membuat
bikin emosi,sangat menjengkelkan membuat emosi marah
bikin kesel,sangat menjengkelkan membuat kesal marah
binatang 1,bintang satu buruk
bingit,sangat
bingits,sangat
bintal,bimbingan mental
bintang 1,bintang satu
bintang 5,apresiasi tertinggi lima bintang sangat puas
bintang lima,apresiasi tertinggi lima bintang sangat puas
bintang satu,satu bintang
bintang5,rating tertinggi
biometrik,autentikasi biometrik wajah dan sidik jari
bisaa,bisa berhasil
bkin,buat
bkin emosi,sangat memancing
bkl,akan
bkn,bukan
bknnya,bukannya
blank,layar kosong
blank putih,layar kosong putih tidak muncul tampilan
blegug,bodoh
bleum,belum
blh,boleh
blm,belum
bln,bulan
blokir,pemblokiran akun kartu
blom,belum
bloon,sangat bodoh
blum,belum
bnci,benci
bnget,sangat
bngt,sangat
bnr,benar
bnran,benar-benar
bntar,sebentar
bntr,sebentar
bobrok,rusak buruk
bodoh,buruk bodoh
bodol,rusak rontok buruk
bodor,lucu
bohong,tidak benar
bokap,ayah
boker,buang air besar
bokis,bohong
boljug,boleh juga
bonek,bocah nekat
boong,tidak benar
bopung,sangat jelek
bosok,sangat buruk
boyeh,boleh
bpjs,bpjs
bpjsk,bpjs kesehatan
br,baru
bray,kawan
brg,bareng
bro,kawan
brp,berapa
bru,baru
bs,bisa
bsen,bosan
bt,buat
btw,ngomong-ngomong
buang tenaga,sangat membuang
buang waktu,sangat membuang-buang
buang2 waktu,sangat membuang-buang
buaya,tidak setia
bubbu,tidur
bubu,tidur
bug,masalah teknis
bugged,masalah teknis
buggg,terdapat masalah
buka blokir,buka blokir akun kartu
bukn,bukan
bumil,ibu hamil
buruk,buruk jelek
buruk bgt,sangat buruk
burukk,sangat buruk
busuk,sangat buruk
bw,bawa
bwt,buat
byar,bayar
byk,banyak
byr,bayar
byrin,bayarkan
